station_id,year,month,temperature,country_code,country_name,latitude,longitude,name
ARM00087506,1967,11,16.06,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1967,12,20.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,1,19.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,2,20.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,3,13.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,4,13.47,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,5,10.99,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,6,5.69,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,7,8.02,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,8,9.9,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,9,11.37,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,10,14.25,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1968,12,21.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,1,21.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,2,19.36,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,3,15.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,4,13.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,5,8.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,6,4.96,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,7,5.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,8,6.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,9,10.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,10,11.36,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,11,15.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1969,12,20.66,AR,Argentina,-35.494,-69.574,MALARGUE
